company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
Joola,Hyperion CAS,16,,0.04,0.51,0.81,0.92,,Elongated,Fiberglass,5.5,"1,234",125,6.37,Polypropylene Honeycomb,Grit,16.5,7.5,8.3,24.5,,
Joola,Hyperion CFS,16,0.03,0.14,0.64,0.93,0.96,,Elongated,Carbon Fiber,5.5,"1,725",127,6.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,24.8,51.6,
Joola,Hyperion CFS,16,0.03,0.06,0.64,0.93,0.96,,Elongated,Carbon Fiber,5.5,"1,333",127,6.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,24.8,51.6,
Joola,Hyperion CFS Swift,16,,0.07,,,,,Elongated,Carbon Fiber,5.5,"1,420",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.9,,,
Joola,Magnus 3 Tyson McGuffin,14,0.95,0.99,0.33,0.61,0.45,0.95,Elongated,Carbon Fiber,5,"2,425",114.7,6.05,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.1,57.3,37.2
Joola,Perseus 3 Ben Johns,14,0.91,0.75,0.26,0.67,0.59,0.99,Elongated,Carbon Fiber,5.5,"2,193",116.9,5.83,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.2,56.9,38.3
Joola,Perseus 3 Ben Johns,16,0.96,1.00,0.34,0.67,0.72,0.96,Elongated,Carbon Fiber,5.5,"2,487",119.2,6.08,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.2,57.6,37.3
Joola,Perseus MOD TA-15,16,0.95,0.83,0.36,0.88,0.72,0.95,Elongated,Carbon Fiber,5.5,"2,243",119.2,6.12,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.6,57.5,36.9
Joola,Scorpeus 3 Anna Bright,14,0.91,0.93,0.68,0.57,0.23,1.00,Standard,Carbon Fiber,5.25,"2,310",109.3,6.64,Polypropylene + Foam,Peel Ply-Coarse,16,8,7.8,24,56.9,38.6
Joola,Scorpeus 3 Collin Johns,16,0.94,0.63,0.84,0.33,0.33,0.98,Standard,Carbon Fiber,5.25,"2,115",111.7,6.94,Polypropylene + Foam,Peel Ply-Coarse,16,8,8,23.7,57,38
Joola,Scorpeus Collin Johns,16,0.06,0.29,0.85,0.48,0.41,0.22,Standard,Carbon Fiber,5.25,"1,889",114,6.95,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.1,23.9,52.2,34.1
Joola,Solaire,14,,0.33,,,,,Standard,Carbon Fiber,5.5,"1,917",,,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,,,
Joola,Solaire,14,,0.17,,,,,Standard,Carbon Fiber,5.5,"1,774",,,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,,,
Komodo,Katana,16,0.26,0.47,0.20,0.42,0.14,0.08,Elongated,Kevlar 3K Cloth,5.25,"2,032",106.5,5.75,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.5,23.8,53.9,33.4
Komodo,Tonto 18K,14,0.37,0.25,0.07,0.17,0.04,0.64,Elongated,18K Carbon Fiber,5.8,"1,854",100,5.32,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.1,23.3,54.5,35.3
Komodo,Tonto Unidirectional,14,0.46,0.17,0.14,0.29,0.68,0.64,Elongated,T700 Carbon Fiber,5.8,"1,765",118.5,5.64,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,23.6,54.8,35.3
Legacy,Legacy Pro,16,,0.32,0.55,,0.78,,Elongated,Toray Carbon Fiber,5.3,"1,913",121,6.43,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,8,,,
Maverix,Clash-15 All Court,15,0.55,0.70,0.62,0.48,0.63,0.50,Hybrid,T700 Carbon Fiber,5.4,"2,161",117.2,6.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.7,8.1,23.9,55.1,35
Maverix,Clash-15 Pro,15,0.61,0.41,0.55,0.48,0.55,0.54,Hybrid,Kevlar & Carbon Fiber,5.4,"1,986",116.2,6.42,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.7,8.2,23.9,55.4,35.1
Maverix,Havik-15 All Court,15,0.51,0.46,0.50,0.48,0.63,0.54,Elongated,T700 Carbon Fiber,5.5,"2,028",117.2,6.36,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,23.9,55,35.1
Maverix,Havik-15 Pro,15,0.66,0.42,0.65,0.61,0.69,0.45,Elongated,Kevlar & Carbon Fiber,5.5,"2,002",118.7,6.58,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,24.1,55.6,34.9
Monarch,Mercenary Graphite 2,10.3,,0.02,,,0.20,,Standard,Graphite,4.5,"1,099",108,,Polypropylene Honeycomb,Grit,15.5,8.2,7.8,,,
Neonic,Flow,16,0.48,0.93,0.61,0.48,0.56,0.36,Hybrid,Toray Carbon Fiber,5.5,"2,310",116.3,6.53,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.6,8.1,23.9,54.9,34.6
OM,Aero,14,0.91,0.11,0.58,0.24,0.15,0.87,Wide Body,T700 Carbon Fiber,5,"1,584",106.7,6.48,Polypropylene Honeycomb,Grit,15.8,8.2,7.9,23.5,56.9,36.3
Owl,Owl CXE,16,0.42,0.98,0.09,0.99,0.68,0.34,Elongated,Acoustene™ Composite,5.3,"2,380",118.5,5.51,Polypropylene Honeycomb,Acoustene™ Composite,16.5,7.5,7.9,25.6,54.7,34.5
PaddleTek,Bantam TKO-C,12.7,0.84,0.94,0.62,0.77,0.37,0.95,Elongated,Toray Carbon Fiber & Fiberglass,5.25,"2,314",113,6.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.7,24.4,56.1,37.2
PaddleTek,Bantam TKO-CX,14.3,0.89,0.91,0.51,0.96,0.83,0.90,Elongated,Toray Carbon Fiber & Fiberglass,5.75,"2,293",121.7,6.38,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.9,25,56.5,36.4
PaddleTek,Tempest TKO-C,14.3,0.90,0.77,0.66,0.88,0.91,0.90,Standard,Toray Carbon Fiber & Fiberglass,5.25,"2,204",124,6.59,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,24.6,56.6,36.4
PaddleTek,Tempest Wave Pro-C,14.3,0.64,0.92,0.92,0.33,0.37,0.92,Standard,Toray Carbon Fiber & Fiberglass,5.25,"2,302",112.4,7.19,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8,8.2,23.7,55.5,36.5
PCKL,Pro 13,13,0.02,0.22,0.27,0.14,0.76,0.04,Hybrid,Toray Carbon Fiber,5.5,"1,834",120,5.91,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,8.1,23.2,51.3,32.3
PCKL,Pro 16,16,0.13,0.24,0.64,0.42,0.78,0.03,Hybrid,Toray Carbon Fiber,5.5,"1,853",121,6.56,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,7.8,23.8,52.8,32.1
Pickleball Apes,Pro Line Energy,16.5,0.59,0.55,0.16,0.91,0.84,0.45,Elongated,Kevlar & Carbon Fiber,6.25,"2,081",122,5.7,Polypropylene Narrow-Cell Honeycomb,Peel Ply-Coarse,17,7,8.3,24.7,55.3,34.9
Pickleball Apes,Pro Line Energy S,16.5,0.79,0.75,0.48,0.67,0.66,0.74,Elongated,Kevlar & Carbon Fiber,5.5,"2,192",118,6.34,Polypropylene Narrow-Cell Honeycomb,Peel Ply-Coarse,16.4,7.6,8.1,24.2,55.9,35.6
PIKKL,Hurricane Pro,14,0.73,0.90,0.67,0.29,0.18,0.69,Standard,T700 Carbon Fiber,5.5,"2,280",107.7,6.6,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.8,23.6,55.7,35.4
PIKKL,Hurricane Pro,16,0.79,0.99,0.77,0.48,0.21,0.59,Standard,T700 Carbon Fiber,5.5,"2,404",108.6,6.79,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.8,23.9,55.9,35.2
PIKKL,Vantage Pro,14,0.76,0.98,0.41,0.42,0.32,0.50,Elongated,Carbon Fiber,5.35,"2,367",111.5,6.19,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,7.9,23.8,55.8,35
PIKKL,Vantage Pro,16,0.81,0.85,0.68,0.48,0.81,0.42,Elongated,Carbon Fiber,5.35,"2,260",121.2,6.64,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,8.4,23.9,56,34.8
ProDrive,Drive Carbon,19,0.66,0.28,0.94,0.81,0.99,0.08,Elongated,Toray Carbon Fiber,5.3,"1,870",130,7.24,Polypropylene + Kevlar,Peel Ply-Coarse,16.4,7.6,8.6,24.5,55.6,33.4
ProDrive,Encounter,16,0.90,0.45,0.09,0.61,0.73,0.34,Elongated,T700 Carbon Fiber,5.5,"2,020",119.2,5.49,Polypropylene + Kevlar,Peel Ply-Coarse,16.5,7.3,8.2,24.1,56.7,34.5
ProDrive,Ghost,16,0.66,0.20,0.74,0.48,0.60,0.54,Elongated,Toray Carbon Fiber,5.3,"1,817",117,6.73,Kevlar,Peel Ply-Coarse,16.4,7.6,8,23.9,55.6,35.1
ProKennex,Black Ace Pro,10,0.37,0.23,0.40,0.05,0.08,0.97,Standard,Toray Carbon Fiber,5.3,"1,848",105,6.17,Polypropylene Honeycomb,Peel Ply,15.8,7.6,8.1,22.6,54.5,37.4
ProKennex,Black Ace Pro,10,0.37,0.09,0.40,0.05,0.08,0.97,Standard,Toray Carbon Fiber,5.3,"1,525",105,6.17,Polypropylene Honeycomb,Peel Ply,15.8,7.6,8.1,22.6,54.5,37.4
Prokennex,Pro Spin,11,,0.07,,,,,Standard,Composit with Submerged Strings,5.12,"1,477",,,Polypropylene Honeycomb,Grit,15.7,7.6,7.6,,,
PROLITE,K2 Power,14,0.27,0.12,0.53,0.06,0.05,0.13,Standard,Toray Carbon Fiber,4.75,"1,628",101,6.4,Polypropylene Honeycomb,Grit,15.7,8.1,7.8,22.7,54,33.6
Proton,Series Four,16,0.88,0.63,0.13,0.61,0.57,0.72,Elongated,3K Kevlar-Carbon Fiber Weave,5.5,"2,114",116.4,5.61,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.1,56.4,35.5
Proton,Series One-Type A,11,0.59,0.61,0.75,0.61,0.45,0.93,Standard,Carbon Fiber,5.25,"2,112",114.5,6.75,Polypropylene Honeycomb,NanoTac,15.8,8.3,8.1,24.1,55.3,36.6
Proton,Series One-Type A,15,0.46,0.89,0.92,0.48,0.71,0.08,Standard,Carbon Fiber,5.25,"2,276",119.1,7.2,Polypropylene Honeycomb,NanoTac,15.8,8.3,8.4,23.9,54.8,33.4
Proton,Series One-Type B,15,0.84,0.96,0.62,0.74,0.98,0.26,Elongated,Carbon Fiber,5.25,"2,336",129.6,6.55,Nomex Honeycomb,NanoTac,16.8,7.3,8.8,24.3,56.1,34.2
Proton,Series Three,15.6,0.84,0.16,0.73,0.81,0.89,0.15,$192.00,Carbon Fiber,5.38,"1,755",122.5,6.72,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,24.5,56.1,33.7
Proton,Series Two,16.2,0.17,0.21,0.31,0.67,0.78,0.31,$176.00,Carbon Fiber,5.38,"1,818",120.6,5.98,Polypropylene Honeycomb,Grit,16.5,7.5,8.3,24.2,53.1,34.4
ProXR,Connor Garnett,14,0.28,0.70,0.10,0.03,0.25,0.22,Elongated,T700 Carbon Fiber,6,"2,163",110,5.52,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,22.5,54.1,34.1
ProXR,Signature,16,0.76,0.87,0.22,0.14,0.57,0.59,Elongated,T700 Carbon Fiber,6,"2,264",116.3,5.77,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,23.2,55.8,35.2
ProXR,Sweet Spot,16,0.30,0.71,0.85,0.24,0.51,0.64,Standard,T700 Carbon Fiber,5.25,"2,169",115.6,6.98,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,23.5,54.2,35.3
ProXR,"Zane Navratil ""The Standard""",14,0.39,0.85,0.84,0.06,0.15,0.40,Standard,T700 Carbon Fiber,5.25,"2,260",107,6.92,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.2,22.7,54.6,34.7
Reload,RLD 1-16,16,0.46,0.61,0.61,0.88,0.94,0.45,Elongated,T700 Carbon Fiber,5.5,"2,108",125.7,6.54,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,24.6,54.8,34.9
Revolin,Revo Pro Pure Hybrid,16,0.88,0.75,0.56,0.06,0.07,0.22,Hybrid,Basalt epoxy,5.25,"2,189",104.5,6.44,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,7.8,8.1,22.7,56.4,34.1
Revolin,Revo Pro Reach Hybrid,16,0.91,0.48,0.10,0.11,0.18,0.16,Elongated,Basalt epoxy,6,"2,034",107.8,5.54,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.3,8,23,56.9,33.8
Revolin,Revo Reach Control,16,,0.01,,,,,Elongated,Flax & Hemp,5.5,"1,056",,,Polypropylene Honeycomb,Grit,16.5,7.5,7.9,,,
Rokne,Republic 2.16 Standard,16,0.12,0.04,0.59,0.88,0.95,0.06,Hybrid,Mitsubishi T700 Carbon Fiber,5.5,"1,176",126.2,6.5,Polypropylene Honeycomb,Grit,16.3,7.5,8.4,24.6,52.7,32.8
Ronbus,EV1.16,16,0.97,0.02,0.30,0.42,0.60,0.36,Elongated,Unknown,5.25,"1,148",117,5.94,EVA Foam,Grit,16.4,7.4,8.1,23.8,58.8,34.6
Ronbus,NOVA R1,16,0.57,0.14,0.18,0.81,0.46,0.42,Elongated,Toray Carbon Fiber,5.5,"1,729",115,5.72,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,7.7,24.5,55.2,34.8
Ronbus,NOVA R2,16,0.34,0.64,0.65,0.29,0.21,0.69,Standard,Toray Carbon Fiber,5.5,"2,127",108.4,6.58,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.9,23.6,54.4,35.4
Ronbus,NOVA R3,16,0.61,0.15,0.34,0.77,0.78,0.42,Elongated,Toray Carbon Fiber,5.5,"1,732",121,6.1,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,8.1,24.4,55.4,34.8
Ronbus,Pulsar FX.R1,16,0.81,0.87,0.43,0.77,0.81,0.69,Elongated,Toray Carbon Fiber,5.5,"2,264",121.2,6.21,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,24.4,56,35.4
Ronbus,Pulsar FX.R2,16,0.39,0.73,0.88,0.21,0.44,0.87,Standard,Toray Carbon Fiber,5.5,"2,177",114.1,7.09,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.2,23.4,54.6,36.3
Ronbus,Pulsar FX.R3,16,0.66,0.82,0.43,0.88,0.83,0.82,Elongated,Toray Carbon Fiber,5.5,"2,230",121.8,6.21,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.1,24.6,55.6,35.9
Ronbus,Pulsar R1,16,0.42,0.32,0.43,0.48,0.53,0.54,Elongated,Toray Carbon Fiber,5.5,"1,915",116,6.21,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,7.9,23.9,54.7,35.1
Ronbus,Pulsar R3,16,0.27,0.38,0.58,0.42,0.92,0.06,Elongated,Toray Carbon Fiber,5.5,"1,970",125,6.47,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,8.3,23.8,54,33.1
Ronbus,R1.16,16,,0.92,0.42,,0.60,,Elongated,Toray Carbon Fiber,5.5,"2,307",117,6.2,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.1,,,
Ronbus,XPRO EV1.T700.R2,16,0.99,0.90,0.16,0.24,0.34,,Elongated,Toray Carbon Fiber,5.5,"2,280",112,5.7,EVA Foam,Peel Ply-Fine,16.5,7.5,7.9,23.5,59.7,
Ronbus,XPRO EV1.T700.R3,16,0.98,0.80,0.16,0.33,0.34,,Elongated,Toray Carbon Fiber,5.5,"2,210",112,5.7,EVA Foam,Peel Ply-Fine,16.5,7.5,7.9,23.7,59.6,
Selkirk,AMPED Control Invikta,16,0.30,0.25,0.28,0.57,0.74,0.22,Elongated,Fiberglass,5.25,"1,855",119.4,5.93,Polypropylene Honeycomb,Grit,16.5,7.4,8.2,24,54.2,34.1
Selkirk,Amped Pro Air Epic,16,0.66,0.84,0.72,0.57,0.31,0.64,Standard,Fiberglass,5.25,"2,252",111.3,6.67,Polypropylene Honeycomb,Grit,15.8,8,8,24,55.6,35.3
Selkirk,Amped Pro Air Invikta,16,0.66,0.54,0.28,0.93,0.81,0.74,Elongated,Fiberglass,5.25,"2,080",121.2,5.93,Polypropylene Honeycomb,Grit,16.5,7.5,8,24.8,55.6,35.6
Selkirk,Epic Vanguard,16,,0.06,,,,,Standard,Carbon Fiber,5.25,"1,285",,,Polypropylene Honeycomb,Grit,15.8,8,7.9,,,
Selkirk,Invikta Amped,16,,0.04,,,0.22,,Elongated,Fiberglass,5.25,"1,220",109,,Polypropylene Honeycomb,Grit,16.5,7.4,7.3,,,
Selkirk,Luxx Control Air Invikta,20,0.03,0.82,0.30,0.77,0.76,0.06,Elongated,Fiberglass & Carbon Fiber,5.35,"2,229",120,5.96,Polypropylene Honeycomb,Grit,16.5,7.5,8.1,24.4,51.6,33.1
Selkirk,Project 003,20,,0.31,,,,,Standard,3K Woven Carbon Fiber,5.25,"1,903",,,Polypropylene Honeycomb,Grit,15.9,7.9,7.7,,,
Selkirk,SLK Halo Power XL,13,0.05,0.24,0.05,0.67,0.46,0.02,Elongated,T700 Carbon Fiber,5.75,"1,849",115,5.27,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.4,7.5,24.2,51.9,31.7
Selkirk,Vanguard Power Air Invikta,12.7,0.09,0.73,0.06,0.12,0.10,0.80,Elongated,Fiberglass & Carbon Fiber,5.25,"2,176",106,5.31,Polypropylene Honeycomb,Grit,16.5,7.4,7.8,23.1,52.6,35.8
Selkirk,Vanguard Power Air Invikta,12.7,0.09,0.03,0.06,0.12,0.10,0.80,Elongated,Fiberglass & Carbon Fiber,5.25,"1,172",106,5.31,Polypropylene Honeycomb,Grit,16.5,7.4,7.8,23.1,52.6,35.8
Selkirk,Vanguard Power Air S2,12.7,,0.53,,,,,Standard,Fiberglass & Carbon Fiber,5.38,"2,077",,,Polypropylene Honeycomb,Grit,15.8,8,7.8,,,
Six Zero,Black Diamond Power,14,0.91,0.59,0.51,0.48,0.33,0.76,Hybrid,Fiberglass,5.5,"2,104",111.7,6.38,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,7.9,23.9,56.8,35.7
Six Zero,Double Black Diamond,14,0.24,0.53,0.48,0.29,0.34,0.54,Hybrid,Toray Carbon Fiber,5.5,"2,077",112,6.33,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.1,23.6,53.7,35.1
Six Zero,Double Black Diamond,16,0.42,0.51,0.71,0.48,0.41,0.13,Hybrid,Toray Carbon Fiber,5.5,"2,062",114,6.66,Polypropylene Honeycomb,Peel Ply-Fine,16.3,7.7,8.1,23.9,54.7,33.6
Six Zero,Double Black Diamond (Early Batch),16,,0.74,,,,,Hybrid,Toray Carbon Fiber,5.5,"2,186",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.1,,,
Six Zero,Infinity Black Diamond,16,0.37,0.89,0.16,0.11,0.13,0.59,Hybrid,Toray Fiberglass,5.5,"2,273",106.2,5.7,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8,23,54.5,35.2
Six Zero,Infinity Double Black Diamond,16,0.23,0.53,0.24,0.14,0.25,0.36,Hybrid,Toray Carbon Fiber,5.5,"2,077",110,5.8,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.1,23.2,53.6,34.6
Six Zero,Quartz,15,0.22,0.33,0.55,0.29,0.19,0.54,Standard,Carbon Fiber,5,"1,925",107.8,6.43,Polypropylene Honeycomb,Peel Ply-Coarse,16,7.9,7.9,23.6,53.5,35.1
Six Zero,Ruby,14,0.61,0.64,0.59,0.33,0.44,0.82,Hybrid,Dupont Kevlar,5.5,"2,124",114.1,6.5,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.2,23.7,55.4,35.9
Six Zero,Ruby,16,0.66,0.88,0.80,0.33,0.60,0.34,Hybrid,Dupont Kevlar,5.5,"2,271",117,6.81,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.3,23.7,55.6,34.5
Six Zero,Triple Black Diamond (Willinator),15,0.42,0.36,0.57,0.93,0.95,0.45,Elongated,18K Toray Carbon Fiber,6,"1,959",126,6.45,Polypropylene Honeycomb,Peel Ply-Coarse,16.6,7.6,8.2,24.8,54.7,34.9
Six Zero,Black Diamond Power,16,0.59,0.81,0.76,0.33,0.53,0.36,Hybrid,Toray Fiberglass,5.5,"2,217",116,6.76,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8,23.7,55.3,34.6
Six Zero,Black Diamond Power (Early Batch),16,,0.94,,,,,Hybrid,Toray Fiberglass,5.5,"2,329",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.1,,,
Spartus,Apollo,16,0.34,0.65,1.00,0.21,0.27,0.26,Wide Body,Dupont Kevlar,5.5,"2,130",110.1,7.56,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.2,8.1,23.4,54.4,34.2
Speedup,Fire 14,14,0.42,0.45,0.26,0.74,0.60,0.54,Elongated,Toray Carbon Fiber,6,"2,016",117,5.85,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.8,24.3,54.7,35.1
Speedup,Ice 16,16,0.48,0.26,0.33,0.95,0.84,0.08,Elongated,Toray Carbon Fiber,6,"1,863",122,6.05,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.8,24.9,54.9,33.4
Standout,KC1,16,0.66,0.48,0.12,0.81,0.74,0.45,Elongated,Kevlar & Carbon Fiber,5.5,"2,042",119.4,5.59,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.5,55.6,34.9
Thrive,Azul (medium-light),16,0.66,0.69,0.68,0.41,0.58,0.90,Hybrid,Kevlar & Carbon Fiber,5.5,"2,155",116.5,6.62,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.2,23.8,55.6,36.4
Thrive,Azul (medium),16,0.79,0.68,0.69,0.48,0.64,0.64,Hybrid,Kevlar & Carbon Fiber,5.5,"2,144",117.3,6.65,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8.2,23.9,55.9,35.3
Thrive,Surge,16,0.51,0.81,0.74,0.74,0.56,0.72,Hybrid,Toray Carbon Fiber,5.3,"2,215",116.3,6.73,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,8,24.3,55,35.5
Vatic Pro,Flash,14,,0.72,,,,,Hybrid,Toray Carbon Fiber,5.3,"2,174",,,Polypropylene Honeycomb,Peel Ply-Fine,16.3,7.7,8.1,,,
Vatic Pro,Prism Flash,16,0.13,0.76,0.45,0.57,0.29,0.08,Hybrid,Toray Carbon Fiber,5.3,"2,200",111,6.25,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,7.8,24,52.8,33.4
Vatic Pro,V7,16,0.18,0.39,0.72,0.14,0.91,0.08,Elongated,Toray Carbon Fiber,5.3,"1,981",124,6.68,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,23.2,53.2,33.4
Volair,Alto,14,0.21,0.18,0.20,0.57,0.28,0.36,Elongated,Fiberglass,5.5,"1,798",110.3,5.75,Polypropylene Honeycomb,Grit,16.5,7.5,7.7,24,53.4,34.6
Volair,Alto,16,0.25,0.15,0.42,0.77,0.75,0.22,Elongated,Fiberglass,5.5,"1,737",119.8,6.2,Polypropylene Honeycomb,Grit,16.5,7.5,8.2,24.4,53.8,34.1
Volair,Corto,14,0.18,0.30,0.82,0.21,0.06,0.45,Wide Body,Fiberglass,5.5,"1,892",103.5,6.85,Polypropylene Honeycomb,Grit,15.9,8.1,7.8,23.4,53.2,34.9
Volair,Corto,16,0.25,0.40,0.90,0.42,0.27,0.13,Wide Body,Fiberglass,5.5,"1,984",110.1,7.1,Polypropylene Honeycomb,Grit,15.9,8.1,8.1,23.8,53.8,33.6
Volair,Mach 1,16,0.13,0.42,0.18,0.57,0.25,0.16,Elongated,T700 Carbon Fiber,5.5,"2,002",110,5.72,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.7,24,52.8,33.8
Volair,Mach 1,14,0.20,0.63,0.28,0.67,0.41,0.22,Elongated,T700 Carbon Fiber,5.5,"2,123",114,5.92,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.2,53.3,34.1
Volair,Mach 1 Forza,14,0.13,0.96,0.39,0.48,0.29,0.50,Elongated,T700 Carbon Fiber,5.5,"2,332",111,6.16,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.8,23.9,52.8,35
Volair,Mach 1 Forza,16,0.39,0.79,0.53,0.61,0.46,0.50,Elongated,T700 Carbon Fiber,5.5,"2,205",115,6.4,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.1,54.6,35
Volair,Mach 2,14,0.07,0.96,0.75,0.17,0.09,0.20,Wide Body,T700 Carbon Fiber,5.5,"2,345",105.3,6.75,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.1,7.8,23.3,52.3,34
Volair,Mach 2,16,0.08,0.94,0.82,0.21,0.17,0.08,Wide Body,T700 Carbon Fiber,5.5,"2,329",107.2,6.9,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.1,8,23.4,52.5,33.2
Volair,Mach 2 Forza,14,0.27,0.83,0.77,0.33,0.17,0.64,Wide Body,T700 Carbon Fiber,5.5,"2,236",107.7,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.1,7.8,23.7,54,35.3
Volair,Mach 2 Forza,16,0.42,0.95,0.96,0.42,0.39,0.20,Wide Body,T700 Carbon Fiber,5.5,"2,330",113.4,7.3,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.1,8.1,23.8,54.7,34